Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Acceso_Datos_en_MYSQL,Chrome 113.0.0.0,,,2023-05-27 18:14:55,2023-05-27 18:15:12,"16,727s",FAILED
,,,,,,,
Test Cases/CursoKatalon/Formulariosimple,Chrome 113.0.0.0,,,2023-05-27 18:14:56,2023-05-27 18:15:05,"8,878s",FAILED
Start listener action : executeRows,Chrome 113.0.0.0,,,2023-05-27 18:14:56,2023-05-27 18:14:56,"0,431s",PASSED
"openBrowser("""")",Chrome 113.0.0.0,,,2023-05-27 18:14:57,2023-05-27 18:15:00,"2,930s",PASSED
"navigateToUrl(""https://demoqa.com/automation-practice-form"")",Chrome 113.0.0.0,,,2023-05-27 18:15:00,2023-05-27 18:15:01,"1,446s",PASSED
maximizeWindow(),Chrome 113.0.0.0,,,2023-05-27 18:15:01,2023-05-27 18:15:01,"0,163s",PASSED
"setText(findTestObject(""Rellenar_Formulario/Nombre""), Nombre)",Chrome 113.0.0.0,,,2023-05-27 18:15:01,2023-05-27 18:15:03,"1,254s",PASSED
delay(DelayCorto),Chrome 113.0.0.0,,,2023-05-27 18:15:03,2023-05-27 18:15:03,"0,088s",FAILED
Start listener action : sampleAfterTestCase,Chrome 113.0.0.0,,,2023-05-27 18:15:03,2023-05-27 18:15:03,"0,002s",PASSED
Start listener action : addFailedTCToList,Chrome 113.0.0.0,,,2023-05-27 18:15:03,2023-05-27 18:15:03,"0,002s",PASSED
Video,Chrome 113.0.0.0,,,2023-05-27 18:15:05,2023-05-27 18:15:05,"0,001s",PASSED
,,,,,,,
Test Cases/CursoKatalon/Formulariosimple,Chrome 113.0.0.0,,,2023-05-27 18:15:05,2023-05-27 18:15:12,"7,470s",FAILED
Start listener action : executeRows,Chrome 113.0.0.0,,,2023-05-27 18:15:05,2023-05-27 18:15:05,"0,010s",PASSED
"openBrowser("""")",Chrome 113.0.0.0,,,2023-05-27 18:15:05,2023-05-27 18:15:07,"1,995s",PASSED
"navigateToUrl(""https://demoqa.com/automation-practice-form"")",Chrome 113.0.0.0,,,2023-05-27 18:15:07,2023-05-27 18:15:09,"1,826s",PASSED
maximizeWindow(),Chrome 113.0.0.0,,,2023-05-27 18:15:09,2023-05-27 18:15:09,"0,153s",PASSED
"setText(findTestObject(""Rellenar_Formulario/Nombre""), Nombre)",Chrome 113.0.0.0,,,2023-05-27 18:15:09,2023-05-27 18:15:10,"1,449s",PASSED
delay(DelayCorto),Chrome 113.0.0.0,,,2023-05-27 18:15:10,2023-05-27 18:15:10,"0,003s",FAILED
Start listener action : sampleAfterTestCase,Chrome 113.0.0.0,,,2023-05-27 18:15:10,2023-05-27 18:15:10,"0,001s",PASSED
Start listener action : addFailedTCToList,Chrome 113.0.0.0,,,2023-05-27 18:15:10,2023-05-27 18:15:10,"0,002s",PASSED
Video,Chrome 113.0.0.0,,,2023-05-27 18:15:12,2023-05-27 18:15:12,"0,001s",PASSED
